,Unnamed: 0,MARKET LIFETIME,AVG SALES LISTED,ORDERS/MONTH,AVG SALES/MONTH,ACTIVE COMPETING PRODUCTS,AVG PRICE,ESTIMATED PROFIT MARGIN,COGS(estimate),Market Maturity,Market Capacity,Market Competition,Market Fund ,Market Concentration,Market Activeness,ANSI,Product_name,Date
0,0,"5,835 days",827 days,"47,927","$1,027,666","1,214",$21.44,79%-79%,$0 - $0,Mature market,Medium capacity,Medium competition,"High profit,worth entering",57.58%,75,B00083K8II,sink stopper bathroom pop up,2021-08-08
1,0,"6,172 days","2,870 days","166,945","$14,940,979","10,319",$89.5,-%--%,- - -,Mature market,Large capacity,Fierce competition,--,91.54%,141,B00L166OE8,kohler,2021-08-08
2,0,--,--,--,--,--,--,-%--%,- - -,Mature market,Medium capacity,Less competition,--,98.01%,36,B0040MPK6S,delta shower valve,2021-08-08
3,0,--,--,--,--,--,--,-%--%,- - -,--,--,--,--,--,171,B00ATODOOQ,cabinet screws,2021-08-08
4,0,"4,479 days","1,846 days",169,"$3,377",3,$19.9,-%--%,- - -,Mature market,Small capacity,Less competition,--,100%,0,B004O4NIFW,plumbing cover plates,2021-08-08
5,0,--,--,--,--,--,--,-%--%,- - -,--,--,--,--,--,73,B004O4NIFW,bathtub cover,2021-08-08
6,0,"6,172 days","2,773 days","7,414","$823,191",397,$111.02,95%-95%,$0 - $0,Mature market,Small capacity,Less competition,"High profit,worth entering",96.11%,33,B07N1J35PB,moen shower trim kit,2021-08-08
7,0,"7,422 days","1,844 days","116,121","$7,154,253","6,052",$61.61,91%-91%,$0 - $0,Mature market,Large capacity,Medium competition,"High profit,worth entering",48.14%,166,B07N1J35PC,shower handle,2021-08-08
8,0,"4,758 days",771 days,"10,383","$189,711",71,$18.27,-%--%,- - -,Mature market,Medium capacity,Less competition,--,90.68%,8,B000PSG7OA,bathtub repair kit,2021-08-08
9,0,--,--,--,--,--,--,-%--%,- - -,--,Medium capacity,Medium competition,--,46.15%,109,B07N1JRSPX,black shower head,2021-08-08
10,0,"2,349 days",975 days,564,"$13,241",15,$23.46,-%--%,- - -,Mature market,Small capacity,Less competition,--,99.03%,3,B0040MPK6S,universal shower handle replacement,2021-08-08
11,0,--,--,0,$0,0,$0,-%--%,- - -,No data,Small capacity,Less competition,--,0%,0,B00164C5IO,outdoor faucet replacement parts,2021-08-08
12,0,"6,172 days","2,773 days","7,414","$823,191",397,$111.02,-%--%,- - -,Mature market,Small capacity,Less competition,"High profit,worth entering",96.11%,33,B07N1JMXZ1,moen shower trim kit,2021-08-08
13,0,--,--,--,--,--,--,-%--%,- - -,--,--,--,--,--,88,B07N1JMXZ1,shower valve and trim kit,2021-08-08
14,0,--,--,--,--,--,--,-%--%,- - -,--,--,--,--,--,23,B0040MPK6S,shower handle replacement,2021-08-08
15,0,"2,841 days",766 days,"131,186","$1,873,931","3,163",$14.28,73%-73%,$0 - $0,Mature market,Large capacity,Medium competition,"High profit,worth entering",40.33%,93,B00083K8II,sink drain stopper,2021-08-08
16,0,--,--,0,$0,0,$0,-%--%,- - -,No data,Small capacity,Less competition,--,0%,0,B000LNPEIO,asse 1019-a repair kit,2021-08-08
17,0,"2,572 days",789 days,"2,514","$161,733",131,$64.33,-%--%,- - -,Mature market,Small capacity,Less competition,--,85.88%,16,B000LNPEIO,outdoor faucet handle,2021-08-08
18,0,"5,835 days","1,352 days","16,324","$326,825",158,$20.02,-%--%,- - -,Mature market,Medium capacity,Less competition,--,73.88%,17,B06XGLQT3R,tub repair kit,2021-08-08
19,0,"6,172 days","1,604 days","124,330","$14,999,649","5,064",$120.64,-%--%,- - -,Mature market,Large capacity,Medium competition,--,61.05%,167,B07N1J35PC,shower valve,2021-08-08
20,0,--,--,--,--,--,--,-%--%,- - -,Mature market,Small capacity,Less competition,--,96.19%,7,B000PSG7OA,delta faucet repair kit,2021-08-08
21,0,--,--,--,--,--,--,-%--%,- - -,--,--,--,--,--,136,B07N1J35PB,moen,2021-08-08
22,0,"5,318 days",951 days,"17,633","$343,753",783,$19.49,-%--%,- - -,Mature market,Medium capacity,Less competition,"High profit,worth entering",47.69%,73,B004O4NIFW,faucet hole cover,2021-08-08
23,0,"2,496 days",850 days,"1,625","$22,580",52,$13.89,-%--%,- - -,Mature market,Small capacity,Less competition,--,88.6%,7,B00ATODOOQ,glasses repair kit with screws,2021-08-08
24,0,"6,520 days","2,338 days","4,205","$322,102",114,$76.6,-%--%,- - -,Mature market,Small capacity,Less competition,--,98.48%,24,B07N1JRSPX,moen shower head,2021-08-08
25,0,--,--,--,--,--,--,-%--%,- - -,--,--,--,--,100%,0,B00L166OE8,toilet tank lid replacement,2021-08-08
